// Generated by g3DTZ v2.1 - by guard3
//
//////////////////////////////////////// SUNNY
//
//	Amb	Amb_Obj	Amb_bl	Amb_Obj_bl	Dir	Sky top	Sky bot	SunCore	SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClip	FogSt	LightOnGround	LowCloudsRGB	TopCloudRGB	BottomCloudRGB	BlurRGB	WaterRGBA
// Midnight
129	129	129	95	95	95	6	15	34	18	16	12	101	102	118	0	0	0	10	10	10	255	255	0	5	0	0	1.0	1.5	5.2	148	99	0	1999.0	22.0	1.5	30	20	0	0	0	0	0	0	0	0	0	0	13	13	13	156
// 1AM
132	132	132	95	95	95	6	15	35	18	16	13	100	102	118	0	1	4	6	6	6	255	224	0	49	22	0	1.0	1.5	1.0	122	98	0	1999.0	180.0	1.5	48	22	5	0	0	0	0	0	0	1	0	0	15	15	14	158
// 2AM
136	136	136	95	95	95	7	15	37	17	16	14	100	103	118	1	3	8	3	3	3	255	194	0	94	45	0	1.0	1.5	1.0	122	98	0	1999.0	339.0	1.5	67	25	10	0	0	0	0	0	0	3	1	1	18	16	15	161
// 3AM
139	139	139	95	95	95	7	15	38	17	16	15	100	104	118	2	5	12	0	0	0	255	164	0	138	68	0	1.0	1.6	1.0	122	98	0	1999.0	498.0	1.5	86	27	15	0	0	0	0	0	0	5	2	2	21	18	16	163
// 4AM
143	143	143	95	95	95	8	16	40	17	17	17	100	105	119	3	7	16	51	16	2	255	134	0	183	91	0	1.0	1.6	1.0	123	99	0	953.0	-64.0	1.5	105	30	20	0	0	0	0	0	0	7	3	3	24	20	17	166
// 5AM
121	119	139	95	95	95	27	18	8	40	40	0	255	230	202	99	168	188	255	221	112	255	255	0	228	85	0	5.7	1.7	1.0	123	99	0	953.0	400.0	1.5	187	140	0	255	255	255	185	168	80	9	3	3	66	101	74	171
// 6AM
150	116	110	90	90	90	52	32	7	74	64	40	243	222	190	90	205	255	208	176	68	255	128	0	255	128	0	12.7	1.0	1.0	139	100	0	951.0	865.0	0.8	100	47	35	255	255	255	204	167	76	11	4	4	33	111	89	164
// 7AM
166	134	119	90	90	90	56	35	7	109	89	80	232	214	178	104	211	255	173	183	98	254	128	0	254	127	9	12.8	1.0	1.0	155	50	0	949.0	578.0	0.5	125	81	71	255	255	255	207	176	79	12	5	5	1	122	105	158
// 8AM
