# Generated by g3DTZ v2.1 - by guard3
col
15	15	15	# 0
202	202	202	# 1
42	119	161	# 2
143	10	10	# 3
1	36	79	# 4
134	68	110	# 5
255	182	16	# 6
76	117	183	# 7
189	190	198	# 8
94	112	114	# 9
70	89	122	# 10
101	106	121	# 11
93	126	141	# 12
88	89	90	# 13
214	218	214	# 14
156	161	163	# 15
51	95	63	# 16
115	14	26	# 17
123	10	42	# 18
159	157	148	# 19
59	78	120	# 20
115	46	62	# 21
105	30	59	# 22
150	145	140	# 23
81	84	89	# 24
63	62	69	# 25
165	169	167	# 26
99	92	90	# 27
61	74	104	# 28
151	149	146	# 29
66	31	33	# 30
95	39	43	# 31
132	148	171	# 32
118	123	124	# 33
100	100	100	# 34
90	87	82	# 35
37	37	39	# 36
45	58	53	# 37
147	163	150	# 38
109	122	136	# 39
34	25	24	# 40
111	103	95	# 41
124	28	42	# 42
95	10	21	# 43
25	56	38	# 44
93	27	32	# 45
157	152	114	# 46
122	117	96	# 47
152	149	134	# 48
173	176	176	# 49
132	137	136	# 50
48	79	69	# 51
77	98	104	# 52
22	34	72	# 53
39	47	75	# 54
125	98	86	# 55
158	164	171	# 56
156	141	113	# 57
109	24	34	# 58
78	104	129	# 59
156	156	152	# 60
145	115	71	# 61
102	28	38	# 62
148	157	159	# 63
164	167	165	# 64
142	140	70	# 65
52	26	30	# 66
106	122	140	# 67
170	173	142	# 68
171	152	143	# 69
133	31	46	# 70
111	130	151	# 71
88	88	83	# 72
154	167	144	# 73
96	26	35	# 74
59	59	75	# 75
164	160	150	# 76
170	157	132	# 77
120	34	43	# 78
14	49	109	# 79
114	42	63	# 80
123	113	94	# 81
116	29	40	# 82
30	46	50	# 83
77	50	47	# 84
124	27	68	# 85
46	91	32	# 86
57	90	131	# 87
109	40	55	# 88
167	162	143	# 89
175	177	177	# 90
54	65	85	# 91
109	108	110	# 92
15	106	137	# 93
32	75	107	# 94
239	232	200	# 95
12	39	94	# 96
255	255	255	# 97
94	112	114	# 98
43	47	58	# 99
65	79	55	# 100
255	239	100	# 101
end
car
6atv, 98,98, 100,100, 99,99, 2,2
admiral, 10,10, 74,74, 14,14, 19,19, 21,21, 24,24, 30,30, 99,99
ambulan, 1,3
ammotruk, 71,1, 5,1, 6,1, 7,1, 45,1, 3,1, 7,6, 6,71
autogyro, -15,-16, -15,-16
baggage, 99,99, 98,98, 76,76
banshee, 54,1, 14,1, 52,1, 61,1, 43,1, 51,1, 3,1, 11,1
benson, 64,78, 25,47, 54,33
bfinject, 54,80, 67,79, 13,83, 63,39, 32,1, 51,78, 3,39, 40,38
biplane, 0,6, 67,79, 13,83, 63,39, 6,0, 51,78, 3,39, 40,38
blistac, 24,72, 34,73, 44,74, 54,75, 64,72, 57,73, 48,74, 26,75
bmxboy, 13,13, 22,22, 35,35, 38,38, 2,2, 3,3, 48,48, 51,51
bmxgirl, 54,80, 67,79, 13,83, 63,39, 32,1, 51,78, 3,39, 40,38
bobcat, 55,1, 65,1, 45,1, 35,1, 24,1, 58,1, 67,1, 14,1
bobo, 6,75, 6,6, 6,76
boxvil, 56,75, 75,79, 13,76, 44,27, 67,77, 55,52, 21,26, 74,15
bulldoze, 13,76, 28,77, 63,78, 42,76, 54,77, 39,78, 11,76, 60,77
burrito, 30,73, 16,72, 1,75, 18,74, 42,73, 60,72, 57,75, 48,74
cabbie, 6,76
caddy, 56,1, 17,8, 38,34
cheetah, 54,1, 14,1, 52,1, 61,1, 43,1, 51,1, 3,1, 11,1
chollo, 101,73
coach, 56,75, 75,79, 13,76, 44,27, 67,77, 55,52, 21,26, 74,15
coastg, 2,1
comet, 54,1, 14,1, 52,1, 61,1, 43,1, 51,1, 3,1, 11,1
cuban, 71,73
deluxo, 96,96, 93,93, 89,89, 66,66, 32,32, 17,17, 30,30
dinghy, 1,1
electrag, 0,0, 2,2, 78,78, 73,2, 71,2, 23,2, 32,2
enforce, 0,1
